Priority,Area,Item,Status,Where it goes,Owner,Needed for,Next action,Notes,Chris input / decision,Secure handoff location,Date provided,Installed in local .env.local?,Installed in Vercel/hosting?,Installed in Convex?,Verified by / date
P0,Convex / webhook security,CONVEX_WEBHOOK_SHARED_SECRET,Done locally + set in Convex dev env,Local .env.local; Convex env; Vercel/hosting env for production/preview,Asala technical owner,Stripe/Checkr/Next API routes calling Convex mutations safely,Add the same value to Vercel Production and Preview env if not already added; store in NordPass,Already verified in .env.local and npx convex env list. Do not commit the value.,Do not paste secret here. Enter: provided / not provided / not needed.,"NordPass item name/link, Stripe/Clerk/Convex dashboard note, or “sent via secure channel”.",,Yes,,Yes,Hermes verified 2026-06-03
P0,Stripe,STRIPE_SECRET_KEY,Missing,Local .env.local; Vercel/hosting env,"Stripe account owner / Chris team, installed by technical owner",Creating checkout sessions and payment flows,Copy live or test secret key from Stripe Dashboard and add securely. Use sk_test_ for local/test; sk_live_ only for production.,Do not email or paste into docs/sheets. Save in NordPass and dashboard env only.,Do not paste secret here. Enter: provided / not provided / not needed.,"NordPass item name/link, Stripe/Clerk/Convex dashboard note, or “sent via secure channel”.",,,,,
P0,Stripe,STRIPE_WEBHOOK_SECRET,Missing,Local .env.local; Vercel/hosting env,Stripe account owner / technical owner,Verifying Stripe webhook signatures at /api/stripe/webhook,"In Stripe Developers > Webhooks, add endpoint https://k12gig.com/api/stripe/webhook and copy whsec_... signing secret.",Local Stripe CLI creates a different whsec_ value from stripe listen --forward-to localhost:<port>/api/stripe/webhook.,Do not paste secret here. Enter: provided / not provided / not needed.,"NordPass item name/link, Stripe/Clerk/Convex dashboard note, or “sent via secure channel”.",,,,,
P0,Convex deploy,CONVEX_DEPLOY_KEY,Missing for production/beta audit,Vercel/CI deploy env; local only if running production deploy from this machine,Convex project owner / Asala technical owner,Production deploy automation / npx convex deploy targeting the correct deployment,Generate/copy Convex deploy key for the intended production deployment and add to hosting/deploy env.,This is separate from CONVEX_WEBHOOK_SHARED_SECRET.,Do not paste secret here. Enter: provided / not provided / not needed.,"NordPass item name/link, Stripe/Clerk/Convex dashboard note, or “sent via secure channel”.",,,,,
P0,Production URL,NEXT_PUBLIC_APP_URL,Local currently points to http://localhost:3000,Vercel/hosting env,Chris/domain owner confirms; technical owner installs,"Redirects, Stripe return URLs, sitemap/OG, canonical app origin",Set production to https://k12gig.com or final canonical domain.,Local value can remain localhost for dev.,Chris can enter the actual non-secret value or final decision here.,N/A unless tied to a vendor dashboard.,,,,,
P0,Convex production,NEXT_PUBLIC_CONVEX_URL,Local currently points at known dev deployment unique-eagle-379,Vercel/hosting env and local env when testing production-like flows,Convex project owner / technical owner,Client app connecting to correct Convex backend,Create/confirm production Convex deployment and set this to its production cloud URL.,Do not let production point at dev Convex.,Chris can enter the actual non-secret value or final decision here.,N/A unless tied to a vendor dashboard.,,,,,
P0,Convex production,NEXT_PUBLIC_CONVEX_SITE_URL,Local currently points at known dev site URL,Vercel/hosting env,Convex project owner / technical owner,Convex site/HTTP-action facing flows where used,Set production to the production Convex .site URL.,Recommended by env audit.,Chris can enter the actual non-secret value or final decision here.,N/A unless tied to a vendor dashboard.,,,,,
P0,Clerk auth,NEXT_PUBLIC_CLERK_PUBLISHABLE_KEY,Local has test key,Local .env.local; Vercel/hosting env,Clerk project owner / Chris team,Client sign-in/sign-up UI,Use production Clerk publishable key in production.,Test key is fine for local/demo only.,Do not paste secret here. Enter: provided / not provided / not needed.,"NordPass item name/link, Stripe/Clerk/Convex dashboard note, or “sent via secure channel”.",,,,,
P0,Clerk auth,CLERK_SECRET_KEY,Local has test key,Local .env.local; Vercel/hosting env,Clerk project owner / Chris team,Server-side auth checks and protected routes,Use production Clerk secret key in production.,Do not store key in docs/sheets.,Do not paste secret here. Enter: provided / not provided / not needed.,"NordPass item name/link, Stripe/Clerk/Convex dashboard note, or “sent via secure channel”.",,,,,
P0,Clerk + Convex auth,CLERK_JWT_ISSUER_DOMAIN,Set in Convex env to https://clerk.k12gig.com,Convex env only,Clerk/Convex technical owner,Convex trusting the correct Clerk issuer in production,Set production Convex env to the production Clerk issuer domain.,Current dev value is regular-wolf-65.clerk.accounts.dev.,Production issuer confirmed: https://clerk.k12gig.com,N/A; issuer domain is not a secret.,2026-06-03,,,Yes,Hermes verified 2026-06-03
